x,y,cell_id,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV,risk_score,risk_category,u_category
-2.2580223,53.4213688,-4.182704147092e+18,80,1,0,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.258104,53.4348514,4.541397942516936e+18,97,2,2,1,0,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071,2.2074271077563385,High,Medium
-2.2581258,53.4384468,2.641711967522112e+18,22,1,0,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2581586,53.4438398,4.768270369095828e+18,28,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2581804,53.4474352,-4.2951804085455974e+18,160,2,6,1,4,3.25,4.91666666666667,2.21735578260835,1.51282051282051,0.682263317725645,5.4673557826083465,High,Medium
-2.2582077,53.4519294,9.205998164829417e+18,45,1,1,0,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667,1.2500000000000002,Medium,Low
-2.2582131,53.4528282,7.688969206081763e+18,72,2,0,1,1,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2582513,53.4591201,-1.0073896546332675e+18,96,2,2,2,0,1.5,1.0,1.0,0.666666666666667,0.666666666666667,2.5000000000000004,High,Medium
-2.258295,53.4663108,-3.233283323207056e+18,99,0,1,2,1,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2583332,53.4726026,1.459857957755788e+18,167,1,4,2,2,2.25,1.58333333333333,1.25830573921179,0.703703703703704,0.559246995205241,3.5083057392117922,High,Medium
-2.2585137,53.5022641,-5.992403126214426e+18,97,0,1,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.256588,53.433057,3.189310789920967e+18,21,1,0,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2566368,53.4411466,-7.727797502955529e+18,73,1,0,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2566693,53.4465396,2.2771137819337416e+18,53,0,0,4,0,1.0,4.0,2.0,4.0,2.0,3.0,High,Low
-2.2566856,53.4492361,-6.539516393388987e+18,63,1,1,0,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667,1.2500000000000002,Medium,Low
-2.2567127,53.4537303,-4.155465383613604e+18,74,1,1,0,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667,1.2500000000000002,Medium,Low
-2.2567236,53.455528,3.644611249090808e+18,76,1,1,2,3,1.75,0.916666666666667,0.957427107756338,0.523809523809524,0.547101204432193,2.7074271077563377,High,Medium
-2.2567778,53.4645164,2.26023585762037e+18,113,4,2,2,2,2.5,1.0,1.0,0.4,0.4,3.5,High,Medium
-2.2568539,53.4771001,-6.829587419779443e+17,21,0,0,1,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2568702,53.4797966,1.9630392157062927e+18,112,1,0,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2568919,53.4833919,-5.252357927931702e+17,326,3,1,3,3,2.5,1.0,1.0,0.4,0.4,3.5,High,Medium
-2.2551799,53.4492393,-8.601520540072993e+17,131,0,5,2,6,3.25,7.58333333333333,2.75378527364305,2.33333333333333,0.847318545736323,6.00378527364305,High,Medium
-2.2552824,53.4663173,5.793172649282263e+18,129,3,1,1,1,1.5,1.0,1.0,0.666666666666667,0.666666666666667,2.5000000000000004,High,Medium
-2.2555364,53.5085624,-7.814338920627386e+17,114,0,0,0,1,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2536635,53.4474449,-7.152446989104168e+18,100,0,2,3,0,1.25,2.25,1.5,1.8,1.2,2.75,High,Medium
-2.2537224,53.4573321,-3.808541654196959e+18,68,2,0,0,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,1.7074271077563374,Medium,Low
-2.2537654,53.4645228,6.611880053056355e+18,72,0,1,2,1,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2537976,53.4699158,5.611864644125258e+16,104,3,2,3,5,3.25,1.58333333333333,1.25830573921179,0.487179487179487,0.387170996680551,4.5083057392117905,High,Medium
-2.2539157,53.4896902,-3.3520358430129587e+18,143,1,1,0,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2541255,53.5247446,4.639672873337064e+18,102,0,1,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2541309,53.5256434,-5.41837102992227e+18,112,1,0,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.254514,53.5894598,-1.6114217419778191e+18,85,0,0,0,1,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2521259,53.442055,4.1646751401555354e+18,102,2,0,1,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,1.7074271077563374,Medium,Low
-2.2522378,53.4609306,-4.842286227475704e+17,18,0,0,1,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2523392,53.4780085,4.663538671549325e+18,11,0,1,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2525155,53.50767,-8.523066058572685e+18,240,0,2,2,0,1.0,1.33333333333333,1.15470053837925,1.33333333333333,1.15470053837925,2.1547005383792497,High,Low
-2.2525369,53.5112653,5.336366082994573e+17,84,2,0,0,0,0.5,1.0,1.0,2.0,2.0,1.5,Medium,Low
-2.2525422,53.5121642,2.3145136394053484e+18,164,0,0,1,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2506151,53.4411593,-7.675963362233193e+18,71,1,0,0,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,1.7074271077563374,Medium,Low
-2.2507211,53.4591361,-7.192896859666383e+17,69,1,0,4,1,1.5,3.0,1.73205080756888,2.0,1.15470053837925,3.2320508075688745,High,Medium
-2.2507582,53.465428,-8.085232327441485e+18,67,0,0,2,4,1.5,3.66666666666667,1.91485421551268,2.44444444444444,1.27656947700845,3.414854215512675,High,Medium
-2.2508271,53.4771129,3.5401937669054234e+17,26,1,0,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2509439,53.4968872,8.701268345528588e+18,84,0,1,0,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,1.7074271077563374,Medium,Low
-2.2509811,53.503179,9.001486773051361e+18,97,1,0,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2509865,53.5040779,3.399684597462979e+18,124,1,1,0,2,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2510024,53.5067744,-2.557810717951219e+18,141,1,0,2,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,1.7074271077563374,Medium,Low
-2.2510556,53.5157627,5.429944174773964e+18,66,1,0,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667,1.2500000000000002,Medium,Low
-2.2510875,53.5211556,-7.503624619309709e+18,116,1,0,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2491413,53.4465555,-4.9952853949927354e+17,70,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2491992,53.4564428,-1.2626651513738652e+18,97,2,2,4,3,2.75,0.916666666666667,0.957427107756338,0.333333333333333,0.348155311911396,3.707427107756339,High,Medium
-2.2494471,53.498688,8.287539956484506e+18,51,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2495581,53.5175635,8.542566315400675e+18,130,1,4,0,0,1.25,3.58333333333333,1.89296944860009,2.86666666666667,1.51437555888007,3.1429694486000876,High,Medium
-2.2476933,53.4564459,-7.653867988964343e+18,97,4,1,1,1,1.75,2.25,1.5,1.28571428571429,0.857142857142857,3.2499999999999996,High,Medium
-2.2477614,53.4681308,-6.949652550291979e+18,180,5,4,2,2,3.25,2.25,1.5,0.692307692307692,0.461538461538462,4.750000000000002,High,Medium
-2.2477718,53.4699285,7.308690779256962e+18,138,5,3,5,0,3.25,5.58333333333333,2.3629078131263,1.71794871794872,0.727048557885017,5.612907813126305,High,Medium
-2.2479397,53.4986912,-4.089120764760764e+18,48,1,1,0,2,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2480027,53.5094772,2.689816657539828e+18,85,1,1,2,0,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2480132,53.5112748,4.516584862314142e+18,96,0,1,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2480184,53.5121736,1.4218528631754135e+18,105,0,1,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2480868,53.5238584,-3.3526515795217326e+18,47,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2461665,53.4528537,5.070807781310828e+18,99,1,1,0,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667,1.2500000000000002,Medium,Low
-2.2461977,53.4582467,8.907491340653719e+18,85,0,1,0,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,1.7074271077563374,Medium,Low
-2.2464479,53.5013908,9.046431901032483e+18,103,2,1,0,1,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2464844,53.5076826,6.371666428633347e+18,69,1,0,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2464896,53.5085814,4.055172485273683e+18,115,3,1,1,0,1.25,1.58333333333333,1.25830573921179,1.26666666666667,1.00664459136943,2.5083057392117873,High,Medium
-2.2445521,53.4339811,1.7694557429393293e+18,97,0,0,1,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2446141,53.4447672,-7.576880211041446e+17,55,1,0,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2447849,53.4744289,6.122213781337849e+18,111,0,2,1,3,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387,2.790994448735805,High,Medium
-2.2449559,53.5040904,-6.79806498296668e+18,122,1,1,0,2,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2450597,53.522067,7.283674546815244e+18,48,1,1,0,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2431805,53.457354,-9.146397060401699e+18,90,1,0,2,1,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2432114,53.4627471,-8.584255067675725e+18,72,0,1,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.243268,53.4726343,3.4306612113396137e+18,300,4,2,3,6,3.75,2.91666666666667,1.70782512765993,0.777777777777778,0.455420034042649,5.457825127659934,High,Medium
-2.2434586,53.5058911,7.370898194729388e+17,94,0,0,3,0,0.75,2.25,1.5,3.0,2.0,2.25,High,Low
-2.2435462,53.5211713,4.988001146893053e+18,58,0,0,1,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2417563,53.4717385,-8.856656228966394e+18,456,5,4,5,4,4.5,0.333333333333333,0.577350269189626,0.0740740740740741,0.128300059819917,5.077350269189626,High,Medium
-2.2417717,53.474435,-5.335441571831363e+18,361,2,5,4,7,4.5,4.33333333333333,2.08166599946613,0.962962962962963,0.462592444325807,6.581665999466131,High,Medium
-2.2419816,53.5112872,-4.844758757947614e+18,58,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2420329,53.5202755,9.04236385318192e+18,110,1,0,1,2,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2401584,53.4555625,8.135992453152822e+18,219,0,1,1,2,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2401635,53.4564613,8.928120638947926e+18,84,1,0,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2401686,53.4573601,-4.2656498504510976e+18,45,0,3,0,0,0.75,2.25,1.5,3.0,2.0,2.25,High,Low
-2.2402143,53.4654497,2.588700125718717e+18,67,2,1,1,0,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2402244,53.4672474,3.7227263917975537e+18,209,1,0,1,3,1.25,1.58333333333333,1.25830573921179,1.26666666666667,1.00664459136943,2.5083057392117873,High,Medium
-2.2402549,53.4726404,-4.165283725814935e+18,391,3,2,4,3,3.0,0.666666666666667,0.816496580927726,0.222222222222222,0.272165526975909,3.8164965809277267,High,Medium
-2.2402753,53.4762357,2.069696025458256e+18,68,1,1,0,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2405552,53.5256715,9.047955976678924e+18,72,0,2,0,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,1.7074271077563374,Medium,Low
-2.2386777,53.4600597,1.5076260986163249e+18,35,0,1,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2387635,53.4753399,-2.3677410570412416e+18,475,3,4,2,5,3.5,1.66666666666667,1.29099444873581,0.476190476190476,0.368855556781659,4.790994448735806,High,Medium
-2.2389304,53.5050014,4.1278438806742487e+18,69,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2389405,53.5067991,-6.928961369993944e+18,86,0,0,0,1,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2389607,53.5103944,6.869085253351552e+18,212,1,1,2,3,1.75,0.916666666666667,0.957427107756338,0.523809523809524,0.547101204432193,2.7074271077563377,High,Medium
-2.2389709,53.5121921,1.0827145612760113e+18,79,0,1,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667,1.2500000000000002,Medium,Low
-2.2371566,53.4573662,5.301323720246155e+18,150,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2373121,53.4852301,1.4880317955494067e+18,88,1,1,0,2,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2373322,53.4888255,-1.3812442664623035e+18,48,0,0,0,2,0.5,1.0,1.0,2.0,2.0,1.5,Medium,Low
-2.237473,53.5139928,-5.896999888727073e+18,68,0,0,0,2,0.5,1.0,1.0,2.0,2.0,1.5,Medium,Low
-2.2375082,53.5202846,8.757666786549368e+17,84,1,0,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667,1.2500000000000002,Medium,Low
-2.2356157,53.4510773,9.004721890016331e+18,125,0,0,0,1,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2357503,53.4753459,-4.785219550146097e+18,640,7,6,4,7,6.0,2.0,1.4142135623731,0.333333333333333,0.235702260395516,7.414213562373097,High,High
-2.2357852,53.4816378,6.67914415248428e+18,141,1,0,1,4,1.5,3.0,1.73205080756888,2.0,1.15470053837925,3.2320508075688745,High,Medium
-2.23593,53.5077039,1.653335463837167e+18,92,0,1,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.235985,53.5175911,4.566338259240275e+18,99,2,2,2,0,1.5,1.0,1.0,0.666666666666667,0.666666666666667,2.5000000000000004,High,Medium
-2.236025,53.5247817,-7.56695689919855e+18,135,1,1,0,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667,1.2500000000000002,Medium,Low
-2.2686801,53.44112,1.5613230998361157e+18,77,1,3,5,6,3.75,4.91666666666667,2.21735578260835,1.31111111111111,0.591294875362225,5.967355782608344,High,Medium
-2.2687482,53.4519061,5.929121216485896e+17,16,1,0,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2687539,53.4528049,4.435147735059117e+18,95,1,3,2,0,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387,2.790994448735805,High,Medium
-2.2688334,53.4653887,-8.738292539663768e+18,226,2,1,1,5,2.25,3.58333333333333,1.89296944860009,1.59259259259259,0.841319754933374,4.142969448600091,High,Medium
-2.2671803,53.4420223,8.472544758162133e+18,52,1,2,0,1,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2672142,53.4474153,8.694117606224232e+18,207,5,4,4,1,3.5,3.0,1.73205080756888,0.857142857142857,0.494871659305394,5.232050807568879,High,Medium
-2.2673159,53.4635944,7.263659053594015e+18,45,0,1,0,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,1.7074271077563374,Medium,Low
-2.2675592,53.5022442,7.141556196309594e+17,85,0,0,1,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2868783,53.4608524,-5.360753529994101e+18,262,0,1,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2852697,53.4455758,9.159716689765475e+18,138,0,0,1,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2835186,53.4087269,3.0871123551221376e+18,85,0,3,1,0,1.0,2.0,1.4142135623731,2.0,1.4142135623731,2.4142135623731003,High,Low
-2.2838241,53.4545678,-7.670590484454127e+18,158,0,1,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.282056,53.4150224,-8.879952954009293e+18,50,1,2,0,1,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.280516,53.4096329,-6.273292361791023e+18,5,2,2,3,1,2.0,0.666666666666667,0.816496580927726,0.333333333333333,0.408248290463863,2.8164965809277263,High,Medium
-2.2806759,53.4339016,6.531833516955833e+18,66,0,1,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2807886,53.4509795,-7.274250121121723e+18,132,0,0,0,1,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2809073,53.4689563,5.445334922692922e+17,210,0,1,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2789999,53.4078387,1.250282542332454e+17,20,17,14,13,16,15.0,3.33333333333333,1.82574185835055,0.222222222222222,0.121716123890037,16.825741858350554,High,High
-2.2790235,53.4114341,1.3971966535908585e+18,47,13,13,12,14,13.0,0.666666666666667,0.816496580927726,0.0512820512820513,0.0628074293021328,13.816496580927726,High,High
-2.2792061,53.4392982,2.6883148331964447e+18,130,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.279271,53.4491854,-3.634174672891585e+18,129,0,0,0,1,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2775074,53.4096399,4.947301433501199e+18,82,35,34,40,39,37.0,8.66666666666667,2.94392028877595,0.234234234234234,0.0795654132101608,39.94392028877595,High,High
-2.2777067,53.4402005,1.8563726314463025e+18,90,0,0,2,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,1.7074271077563374,Medium,Low
-2.2777125,53.4410994,-6.327396498288152e+18,118,2,1,0,2,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071,2.2074271077563385,High,Medium
-2.2778945,53.4689633,-1.5603547288435612e+18,32,0,0,1,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.278177,53.5121072,1.8448000095036083e+18,58,0,0,0,1,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2760031,53.4096434,-8.820616222601541e+18,58,19,18,21,17,18.75,2.91666666666667,1.70782512765993,0.155555555555556,0.0910840068085298,20.45782512765993,High,High
-2.2760206,53.4123399,5.726773707050737e+18,73,23,21,16,18,19.5,9.66666666666667,3.1091263510296,0.495726495726496,0.159442376975877,22.6091263510296,High,High
-2.276143,53.4312156,-9.943563481311644e+17,66,2,2,0,3,1.75,1.58333333333333,1.25830573921179,0.904761904761905,0.719031850978167,3.0083057392117922,High,Medium
-2.2761954,53.4393052,2.4766142035916774e+18,84,2,2,1,0,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071,2.2074271077563385,High,Medium
-2.2762246,53.4437994,-5.678218201772312e+18,150,0,0,1,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2763064,53.4563831,-2.080866307831493e+17,110,0,0,1,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2763297,53.4599785,-9.38212887150026e+17,265,0,0,0,1,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2744872,53.4078492,5.587628396275937e+18,46,3,2,5,2,3.0,2.0,1.4142135623731,0.666666666666667,0.471404520791032,4.414213562373096,High,Medium
-2.274493,53.408748,-1.541227490034445e+17,56,8,6,4,6,6.0,2.66666666666667,1.63299316185545,0.444444444444444,0.272165526975909,7.632993161855453,High,High
-2.2746959,53.4402075,-7.173369861790438e+18,89,1,2,1,2,1.5,0.333333333333333,0.577350269189626,0.222222222222222,0.38490017945975,2.077350269189625,High,Medium
-2.2747249,53.4447017,-6.087113180199496e+18,50,1,0,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
